"platform","page/stage","text"
"both","Metadata","REACHOUT | Phone- and text-banking"
"both","Metadata","Easily phone and message contacts to build for meetings, mobilisations, actions and more."
"both","Metadata / share link","Open this REACHOUT phonebank on your phone to start calling and messaging contacts."
"desktop","Header","REACHOUT"
"desktop","Header","by TenantAct"
"desktop","Header","Get started"
"desktop","Header","FAQ"
"desktop","Header","Living Rent"
"desktop","Journey nav","SET UP YOUR REACHOUT"
"desktop","Journey nav","IMPORT CONTACTS"
"desktop","Journey nav","Add or paste your contacts"
"desktop","Journey nav","WRITE MESSAGES"
"desktop","Journey nav","Create your templates"
"desktop","Journey nav","CALL NOTES & REPORTBACKS"
"desktop","Journey nav","Add prompts and reportback questions"
"desktop","Journey nav","START CONTACTING"
"desktop","Journey nav","Use your phonebank links"
"desktop","Journey nav","Use your pre-filled WhatsApp and SMS links"
"desktop","Journey nav","Organiser mode"
"desktop","Journey nav","Notes, reportbacks and session hosting enabled."
"desktop","Journey nav","Add call notes, reportbacks and hosting tools."
"desktop","Journey nav","Enabled"
"desktop","Journey nav","Enable"
"desktop","Journey nav","NEED HELP?"
"desktop","Journey nav","Learn how REACHOUT works and how to use it on your phone."
"desktop","Journey nav","View guide"
"desktop","Journey nav","Display"
"desktop","Journey nav","Text size and colour mode"
"desktop","Journey nav","Built by members of Living Rent, Scotland's tenants' union."
"desktop","Contacts / import","Stage 1 of 3"
"desktop","Contacts / import","Stage 1 of 4"
"desktop","Contacts / import","IMPORT YOUR CONTACTS"
"desktop","Contacts / import","Copy and paste in the names and numbers of the people you want to message."
"desktop","Contacts / import","You can copy this example for formatting."
"desktop","Contacts / import","PASTE YOUR CONTACTS HERE"
"desktop","Contacts / import","Copy your contacts' names and numbers with ctrl/cmd + C, then click here and paste them with ctrl/cmd + V."
"desktop","Contacts / import","OR"
"desktop","Contacts / import","Click to paste"
"desktop","Contacts / import","This button may request access to your clipboard to work."
"desktop","Contacts / import","Contacts imported successfully!"
"desktop","Contacts / import","Clipboard API is not supported in this browser context."
"desktop","Contacts / import","Clipboard is empty."
"desktop","Contacts / import","Access denied. Please paste using Ctrl/Cmd + V inside the box."
"desktop","Contacts / import","Could not parse any contacts from clipboard. Check formatting below."
"desktop","Contacts / import","Format unrecognized. Check formatting instructions below."
"desktop","Contacts / import","Formatting example"
"desktop","Contacts / import","Use one contact per row, with a name and phone number in separate columns."
"desktop","Contacts / import","Name"
"desktop","Contacts / import","Phone number"
"desktop","Contacts / import","Sandy Mills"
"desktop","Contacts / import","+44 7712 345678"
"desktop","Contacts / import","Mia Benson"
"desktop","Contacts / import","07712 345678"
"desktop","Contacts / import","Commas, tabs, semicolons, or spreadsheet columns are all fine."
"desktop","Contacts / import","DIAL CODE"
"desktop","Contacts / import","Used when a number does not already include an international dial code."
"desktop","Contacts / import","CONTACTS PREVIEW"
"desktop","Contacts / import","Example contacts loaded"
"desktop","Contacts / import","Clear all"
"desktop","Contacts / import","Are you sure you want to clear all contacts?"
"desktop","Contacts / import","duplicate contact found"
"desktop","Contacts / import","duplicate contacts found"
"desktop","Contacts / import","Matching phone numbers are highlighted below."
"desktop","Contacts / import","Clean up"
"desktop","Contacts / import","Continue to messages"
"desktop","Contacts / import modal","Contacts already loaded"
"desktop","Contacts / import modal","Add these contacts or replace the current list?"
"desktop","Contacts / import modal","We found [count] contact(s) in what you pasted. Choose whether to add them to the existing [count], or replace the list and start fresh."
"desktop","Contacts / import modal","Replace list"
"desktop","Contacts / import modal","Add to list"
"desktop","Contacts preview","NAME"
"desktop","Contacts preview","PHONE NUMBER"
"desktop","Contacts preview","No contacts imported yet."
"desktop","Contacts preview","Use the paste dropzone on the left to add names and numbers."
"desktop","Contacts preview","Duplicate"
"desktop","Contacts preview","Both Name and Phone Number are required."
"desktop","Contacts preview","Full Name"
"desktop","Contacts preview","Phone Number"
"desktop","Contacts preview","Save Changes"
"desktop","Contacts preview","Cancel Editing"
"desktop","Contacts preview","Edit Contact"
"desktop","Contacts preview","Remove Contact"
"desktop","Messages / templates","Stage 2 of 3"
"desktop","Messages / templates","Stage 2 of 4"
"desktop","Messages / templates","WRITE YOUR MESSAGES"
"desktop","Messages / templates","Create the message templates you want to send to each contact."
"desktop","Messages / templates","Use {FIRSTNAME} to add each contact's first name. You can also use *bold* and _italics_ for WhatsApp messages."
"desktop","Messages / templates","Example templates are included to get you started. Edit or delete them before sending."
"desktop","Messages / templates","Example template"
"desktop","Messages / templates","Template title"
"desktop","Messages / templates","Delete template"
"desktop","Messages / templates","Message body - use {FIRSTNAME} for personalization"
"desktop","Messages / templates","Did you mean to use {FIRSTNAME}?"
"desktop","Messages / templates","Fix token"
"desktop","Messages / templates","Add Template"
"desktop","Messages / templates","TOP TIP"
"desktop","Messages / templates","The Connolly for President campaign in Ireland found it useful to text people just before calling. A short message saying you are phonebanking now, and asking whether they are free for a call in the next hour, can make the follow-up call feel less cold."
"desktop","Messages / templates","Back to contacts"
"desktop","Messages / templates","Start messaging"
"desktop","Messages / templates","Add notes & reportbacks"
"desktop","Organiser / call notes and reportbacks","Stage 3 of 4"
"desktop","Organiser / call notes and reportbacks","CALL NOTES AND REPORTBACKS"
"desktop","Organiser / call notes and reportbacks","Add phonebanking prompts and choose what people should report back after each contact."
"desktop","Organiser / call notes","Call notes"
"desktop","Organiser / call notes","Add short reminders that appear alongside each contact while people are phonebanking. Useful for campaign context, asks, or local issues."
"desktop","Organiser / call notes","e.g. Remind them about the AGM on the 18th"
"desktop","Organiser / call notes","Remove note"
"desktop","Organiser / call notes","Add call note"
"desktop","Organiser / call notes","How this appears to phonebankers"
"desktop","Organiser / call notes","No call notes yet. Phonebankers will just see each contact and the message options."
"desktop","Organiser / reportbacks","Reportbacks"
"desktop","Organiser / reportbacks","Turn this on if phonebankers should record what happened after each contact and send you a summary at the end."
"desktop","Organiser / reportbacks","Add the number that should receive reports, then choose the questions people should answer after each contact."
"desktop","Organiser / reportbacks","Your phone number"
"desktop","Organiser / reportbacks","Reportback phone dial code"
"desktop","Organiser / reportbacks","e.g. 7712 345678"
"desktop","Organiser / reportbacks","This number starts with +[dial code], but the dropdown is set to [dial code]. Choose the matching dial code so WhatsApp links work."
"desktop","Organiser / reportbacks","This number looks a bit short. Include the full mobile number so phonebankers can send WhatsApp reportbacks."
"desktop","Organiser / reportbacks","Make reportback mandatory"
"desktop","Organiser / reportbacks","Phonebankers cannot move to the next contact until the questions marked mandatory are answered."
"desktop","Organiser / reportbacks","Question to ask after contact"
"desktop","Organiser / reportbacks","Yes / no"
"desktop","Organiser / reportbacks","Free text"
"desktop","Organiser / reportbacks","Required"
"desktop","Organiser / reportbacks","Remove question"
"desktop","Organiser / reportbacks","Add reportback question"
"desktop","Organiser / reportbacks","Back to messages"
"desktop","Organiser / reportbacks","Start contacting"
"desktop","Start contacting","Stage 3 of 3"
"desktop","Start contacting","Stage 4 of 4"
"desktop","Start contacting","START CONTACTING"
"desktop","Start contacting","The easiest route is to transfer everything to your phone, then call and message from there."
"desktop","Start contacting","Recommended"
"desktop","Start contacting","Send this phonebank to your mobile"
"desktop","Start contacting","Move this phonebank to your mobile so you can call and message from there. Open the link on your phone or scan the QR code with your camera."
"desktop","Start contacting","Send to phone"
"desktop","Start contacting","Running this with a group?"
"desktop","Start contacting","Splitting on"
"desktop","Start contacting","Split between participants"
"desktop","Start contacting","Split between"
"desktop","Start contacting","participants"
"desktop","Start contacting","About [count] contacts each"
"desktop","Start contacting","Send from desktop instead"
"desktop","Start contacting","You can also use the links below directly from this browser."
"desktop","Start contacting","Signal / Telegram enabled"
"desktop","Start contacting","Add Signal / Telegram"
"desktop","Start contacting","Call notes"
